Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
146,Леверкузен,Дортмунд,Феликс Цвайер,3.2,3.75,2.1,21,1,0,1126,1287,-161,47,53,13,8,2,2,496,529,61,46,8,13,33,27,54,61,9,11,18,21,6,5,9,12,121,137,23,16,13,3,10,11,13,5,4-3-3,6.96,4-2-3-1,7.05,12.67,11.03,,,3.7142857142857135,23.285714285714285,15.285714285714286,12.6875,10.75,10.3125
147,Герта,Хоффенхайм,Вред Осмерс,2.37,3.5,2.87,32,0,1,1109,661,448,57,43,16,16,1,1,481,370,74,50,22,12,20,12,64,48,19,14,13,14,3,2,14,11,144,135,13,11,2,6,4,6,9,5,4-3-1-2,6.82,3-5-2,6.8,7.42,14.38,,,3.0,23.571428571428573,13.0,15.4375,14.125,14.3125
148,Шальке 04,Кельн,Дэниел Зиберт,2.87,3.3,2.4,18,0,1,1625,700,925,62,38,7,11,2,1,560,324,61,57,16,17,32,7,66,55,20,14,14,32,5,8,13,13,157,138,14,13,7,3,8,8,6,5,4-2-3-1,6.63,3-4-2-1,6.72,9.79,15.26,,,3.857142857142857,21.857142857142858,14.0,13.5,12.428571428571429,13.375
149,Билефельд,Штутгарт,Роберт Хартманн,4.333333333333334,3.8,1.8,18,1,0,426,1336,-910,34,66,9,9,1,0,326,619,72,57,9,21,15,19,61,55,22,20,27,18,2,6,11,9,132,147,9,10,3,3,5,6,4,4,4-1-3-2,6.77,3-4-2-1,6.92,17.95,8.75,,,4.2,29.6,10.125,12.3125,13.375,12.4375
150,Аугсбург,Бавария М.,Матиас Йолленбек,13.0,7.5,1.18,26,0,1,363,2107,-1744,36,64,15,11,2,0,310,550,69,67,17,26,14,21,47,62,14,14,15,21,5,7,10,8,135,136,9,13,0,4,4,6,5,7,3-4-2-1,6.79,4-2-3-1,7.05,11.23,6.96,,,2.5,27.0,11.125,11.5625,9.125,9.5
151,РБ Лейпциг,Юнион Берлин,Маркус Шмидт,1.5,4.2,6.5,17,0,0,2162,196,1966,67,33,6,11,1,1,803,386,50,58,19,6,16,15,59,29,19,9,17,12,5,1,9,17,141,152,16,4,5,1,9,1,7,3,3-4-2-1,6.97,3-1-4-2,6.86,10.04,24.42,,,5.4,23.6,11.75,11.6875,13.428571428571429,12.8125
152,Фрайбург,Э. Франкфурт,Гвидо Винкманн,3.0,3.5,2.3,25,1,1,867,1129,-262,38,62,10,15,3,3,316,523,81,51,22,26,17,8,54,63,22,32,9,16,4,5,22,5,175,182,11,15,4,3,7,10,4,5,4-4-2,6.86,3-4-2-1,6.91,13.1,7.47,,,4.333333333333333,22.33333333333333,11.0,12.3125,14.375,13.75
153,Мгладбах,Дортмунд,Мануэль Грефе,3.4,4.0,1.95,18,2,2,934,1883,-949,42,58,9,9,1,0,462,606,50,52,7,28,17,18,42,54,10,15,11,17,3,7,22,22,125,142,10,15,7,7,7,11,3,4,3-4-1-2,6.88,4-2-3-1,7.05,19.26,9.55,,,4.0,21.5,11.11111111111111,12.058823529411764,10.444444444444445,10.176470588235292
154,Майнц 05,РБ Лейпциг,Кристиан Дингерт,7.5,4.75,1.4,29,2,2,959,1869,-910,31,69,13,16,2,4,273,597,70,62,14,23,16,25,63,67,14,26,25,19,3,9,10,9,175,187,9,13,4,5,7,9,2,4,3-4-1-2,6.72,3-1-4-2,6.99,12.69,5.67,,,4.4,21.8,15.22222222222222,14.0,11.625,11.352941176470589
155,Билефельд,Э. Франкфурт,Роберт Шредер,4.5,3.75,1.75,36,1,3,430,1680,-1250,43,57,14,22,2,2,407,523,62,54,13,19,9,13,61,44,19,12,19,8,0,8,14,12,124,128,8,15,4,7,7,11,1,4,4-1-3-2,6.78,3-4-2-1,6.9,9.97,9.07,,,3.6,24.0,10.0,12.117647058823527,14.444444444444445,13.823529411764708
156,Леверкузен,Вольфсбург,Марко Фриц,2.0,3.7,3.5,20,0,1,1571,574,997,63,37,13,7,1,1,599,334,77,67,21,15,34,10,43,57,10,15,9,22,6,2,5,15,176,153,10,8,3,4,6,6,4,2,4-3-3,6.96,4-2-3-1,6.93,6.87,17.95,,,3.7142857142857135,26.285714285714285,15.0,12.705882352941176,13.333333333333334,13.058823529411764
157,Аугсбург,Юнион Берлин,Феликс Брых,3.4,3.4,2.15,34,1,1,463,1325,-862,36,64,13,21,3,1,327,556,76,69,9,38,11,18,54,65,20,29,10,12,2,3,7,6,141,159,8,9,4,5,5,7,3,2,3-4-2-1,6.78,3-4-3,6.85,17.17,5.9,,,2.25,21.375,11.555555555555555,11.764705882352942,13.125,12.705882352941176
