,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
61,АС Монако,Ницца,Микаэль Лесаж,1.8,3.5,4.5,24,1,0,1064,1053,11,39,61,10,14,2,3,322,493,42,56,9,13,17,33,65,46,15,11,27,11,5,7,10,16,101,134,17,10,5,3,16,7,1,3,3-5-2,6.64,4-3-3,6.86,10.63,6.32,,,5.333333333333333,29.333333333333332,11.0,11.166666666666666,12.0,10.0
62,Амьен,Бордо,Вилли Делайод,2.62,3.0,3.0,28,1,2,1005,1138,-133,46,54,15,13,2,2,410,502,52,71,25,8,16,23,60,60,20,19,21,17,3,3,5,12,158,145,11,15,3,6,7,5,4,10,4-2-3-1,6.69,3-4-2-1,6.79,11.43,11.4,,,5.5,30.75,11.333333333333334,10.333333333333334,15.666666666666666,14.833333333333334
63,Нант,Ренн,Энтони Готье,2.5,3.1,3.0,34,0,0,654,816,-162,44,56,17,17,2,4,347,451,48,64,14,11,22,18,68,62,24,19,23,19,2,4,6,8,138,137,9,6,2,2,7,5,2,1,4-2-3-1,6.92,4-4-2,6.82,10.41,9.95,,,5.0,25.25,16.0,15.666666666666666,14.666666666666666,14.333333333333334
64,Лилль,Страсбург,Йохан Хамель,1.75,3.5,5.25,19,1,0,1531,242,1289,65,35,7,12,0,1,650,351,54,60,21,10,7,16,32,50,7,16,14,18,4,2,7,6,109,113,12,5,5,1,9,3,3,2,4-4-2,6.85,3-5-1-1,6.86,8.83,36.0,,,4.0,25.0,8.333333333333334,9.666666666666666,15.5,12.5
65,Монпелье,Ним,Бенуа Бастьен,2.05,3.4,3.6,33,1,0,889,887,2,55,45,14,19,3,4,416,324,78,71,15,18,18,17,61,69,22,35,14,17,4,8,7,22,159,148,12,15,4,3,5,6,7,9,3-4-1-2,6.85,5-3-2,6.83,7.17,7.16,,,4.0,30.0,17.0,16.833333333333332,12.0,13.666666666666666
66,Сент-Этьен,Мец,Эрик Ваттелье,1.9,3.3,4.2,24,0,1,1328,617,711,52,48,12,12,4,2,423,403,45,67,34,17,18,23,65,79,23,34,19,19,8,5,19,17,155,146,15,13,3,2,11,7,4,6,4-2-3-1,6.75,4-3-3,6.77,6.47,13.0,,,4.0,28.0,15.5,12.0,11.666666666666666,12.333333333333334
67,Брест,Лион,Амори Делерю,4.5,3.75,1.75,19,1,1,930,876,54,43,57,9,10,0,0,459,606,48,67,21,16,8,20,38,47,12,6,16,17,2,6,13,11,143,146,14,11,5,5,6,8,8,3,4-2-3-1,6.81,4-2-3-1,6.95,13.22,12.68,,,4.333333333333333,27.666666666666668,13.0,12.5,14.0,11.5
68,Тулуза,Анже,Оливье Туаль,2.62,3.1,2.87,27,0,0,746,1400,-654,57,43,15,12,1,0,507,377,56,59,25,20,13,9,56,53,19,24,15,13,5,11,11,12,151,141,6,22,1,6,4,10,2,12,4-3-3,6.81,4-3-3,6.78,7.95,22.43,,,1.5,25.0,13.0,12.833333333333334,15.0,13.333333333333334
69,ПСЖ,Реймс,Франсуа Летексье,1.3,5.5,9.5,21,0,1,1348,787,561,72,28,10,11,1,2,740,276,37,66,21,15,27,24,58,45,12,9,20,17,6,6,7,12,125,120,12,13,3,3,6,9,6,4,4-3-3,7.06,4-4-1-1,6.94,6.13,20.24,,,6.0,31.5,12.333333333333334,12.5,12.333333333333334,15.0
70,Лион,Нант,Бенуа Милло,1.5,3.8,7.5,20,0,0,1749,758,991,62,38,10,10,2,2,589,346,30,46,23,15,25,14,61,44,19,9,20,18,7,8,10,12,148,146,14,11,7,2,9,4,5,7,4-3-3,6.95,4-4-1-1,6.9,9.0,23.6,,,5.666666666666667,21.333333333333332,9.0,11.285714285714286,15.333333333333334,15.857142857142858
