,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
106,Фрайбург,Э. Франкфурт,Флориан Бадстабнер,1.83,3.6,4.333333333333334,26,0,2,2000,652,1348,62,38,10,16,0,4,565,347,44,60,35,14,23,7,61,49,24,16,9,18,10,4,8,8,160,139,21,13,5,7,16,4,5,9,3-4-3,6.92,3-4-2-1,6.77,13.13,15.95,,,3.25,21.25,11.6,12.818181818181818,14.0,13.181818181818182
107,Майнц 05,Кельн,Дениз Айтекин,2.05,3.5,3.6,25,1,1,539,1463,-924,42,58,18,7,2,1,343,480,59,92,14,21,14,16,55,56,26,19,13,11,5,7,13,14,172,180,11,11,2,5,8,6,3,5,3-5-2,6.87,4-2-3-1,6.85,8.87,9.94,,,4.4,26.4,14.666666666666666,14.272727272727273,12.0,12.363636363636363
108,Штутгарт,Майнц 05,Матиас Йолленбек,2.55,3.3,2.75,24,2,1,703,1599,-896,46,54,7,17,2,2,435,520,67,57,12,20,18,9,63,38,24,10,11,18,5,6,18,16,162,176,7,18,3,5,5,9,2,9,3-4-2-1,6.82,3-5-2,6.87,16.85,6.23,,,3.25,28.75,12.0,13.083333333333334,13.8,14.583333333333334
109,Кельн,Мгладбах,Роберт Шредер,3.0,3.5,2.25,26,4,1,1390,954,436,49,51,15,11,1,3,384,409,62,55,28,13,10,19,51,48,17,17,15,7,4,4,15,5,160,143,15,16,9,5,10,9,5,7,4-2-3-1,6.85,3-4-2-1,6.92,7.06,10.38,,,4.6,26.2,12.666666666666666,11.916666666666666,10.833333333333334,10.916666666666666
110,Герта,Аугсбург,Фрэнк Вилленборг,1.91,3.4,4.2,25,1,1,1167,887,280,51,49,11,14,2,3,403,381,56,62,20,20,14,7,53,50,20,22,13,14,5,6,20,5,143,144,12,18,4,6,10,10,2,8,3-4-2-1,6.67,4-4-2,6.7,11.94,12.89,,,5.25,23.5,13.0,13.0,12.666666666666666,12.416666666666666
111,Фюрт,Хоффенхайм,Бастиан Данкерт,5.25,4.5,1.5699999999999998,34,3,6,902,1227,-325,50,50,17,17,1,0,402,406,52,69,12,16,10,6,52,41,18,11,12,12,4,10,11,3,113,127,16,21,7,11,13,18,3,3,4-3-3,6.6,4-3-3,6.87,10.77,13.5,,,5.25,27.5,15.2,13.916666666666666,12.166666666666666,12.916666666666666
112,Бохум,Фрайбург,Патрик Иттрих,3.1,3.3,2.35,25,2,1,573,1717,-1144,41,59,12,13,2,1,302,438,70,57,16,27,10,8,40,53,14,23,8,15,4,7,13,7,134,145,13,21,6,11,7,16,6,5,4-3-3,6.78,4-4-1-1,6.92,18.17,8.44,,,5.0,28.0,10.8,12.583333333333334,13.833333333333334,12.583333333333334
113,Вольфсбург,Дортмунд,Свен Яблонски,2.75,3.3,2.55,19,1,3,997,1521,-524,41,59,8,11,4,1,387,566,60,40,25,21,20,16,37,39,6,7,10,13,7,7,12,8,144,151,15,15,7,8,10,8,5,7,3-4-2-1,6.88,4-2-3-1,6.93,18.6,9.8,,,3.0,19.4,14.0,14.166666666666666,13.4,10.75
114,Бавария М.,Билефельд,Марко Фриц,1.07,12.0,27.0,20,1,0,3381,206,3175,73,27,7,13,1,1,703,261,53,58,33,8,23,20,57,46,17,16,12,12,13,4,3,14,155,139,22,8,9,0,19,4,3,4,4-2-3-1,7.1,4-3-3,6.74,6.14,30.0,,,2.6,20.6,6.333333333333333,7.75,12.6,13.583333333333334
115,Э. Франкфурт,Юнион Берлин,Саша Стегеманн,2.3,3.3,3.2,11,2,1,1640,390,1250,54,46,4,7,0,4,508,463,59,77,31,8,17,12,47,41,19,12,10,15,7,2,11,11,186,163,13,7,2,4,10,5,3,2,3-4-2-1,6.8,3-5-2,6.84,14.84,18.69,,,2.8,23.0,12.2,13.416666666666666,12.0,11.666666666666666
116,РБ Лейпциг,Леверкузен,Бенджамин Кортус,1.95,4.0,3.6,19,1,3,1313,550,763,59,41,10,9,1,3,592,431,40,53,28,5,18,11,44,43,12,14,14,13,7,2,10,11,147,142,13,11,3,4,7,10,6,1,4-3-1-2,6.93,4-2-3-1,6.87,9.56,30.44,,,4.0,28.666666666666668,10.666666666666666,11.666666666666666,10.0,10.083333333333334
117,Юнион Берлин,РБ Лейпциг,Вред Осмерс,3.75,3.6,1.95,20,2,1,979,1336,-357,37,63,12,8,1,1,299,532,63,57,19,22,18,25,49,58,18,19,15,12,5,7,19,6,160,172,15,12,4,3,13,7,2,5,5-3-2,6.83,3-4-2-1,6.91,8.28,13.09,,,3.0,22.6,11.428571428571429,11.307692307692308,12.666666666666666,11.538461538461538
118,Хоффенхайм,Э. Франкфурт,Даниэль Шлагер,1.91,4.0,3.6,21,3,2,1091,1181,-90,49,51,9,12,2,2,494,511,75,57,16,22,18,11,50,50,18,18,16,19,4,6,8,5,166,146,8,16,5,3,6,12,2,4,3-4-2-1,6.88,3-4-2-1,6.81,15.86,11.92,,,4.0,22.6,13.666666666666666,13.23076923076923,14.285714285714286,12.692307692307692
