,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
140,Ахмат,Ростов,Николай Волошин,2.0,3.25,3.9,34,0,0,1267,877,390,51,49,20,14,1,0,360,340,93,81,23,17,16,11,58,71,19,21,18,27,9,2,13,15,186,167,12,8,4,3,5,4,7,4,4-2-3-1,6.83,4-3-3,6.84,5.45,6.03,,,4.166666666666667,28.666666666666668,16.0,16.705882352941178,14.333333333333334,12.9375
141,ЦСКА,Урал,Алексей Васильевич Сухой,1.33,5.0,9.5,30,1,1,1626,682,944,60,40,16,14,5,4,503,324,41,72,17,19,10,10,45,49,15,15,11,15,5,6,5,10,134,132,13,10,6,3,11,6,2,4,4-2-3-1,6.96,4-2-3-1,6.87,7.15,21.82,,,7.2,27.4,9.444444444444445,11.411764705882353,12.625,12.058823529411764
142,Сочи,Динамо,Виталий Мешков,2.62,3.1,2.75,27,0,0,1347,780,567,46,54,12,15,1,2,414,482,89,71,20,13,1,16,53,56,22,19,18,18,7,3,22,15,157,151,19,9,11,4,13,7,6,2,3-5-2,6.88,4-3-3,6.93,10.36,8.14,,,7.5,27.875,12.333333333333334,11.88888888888889,11.666666666666666,13.222222222222221
143,Ротор,Арсенал,Игорь Панин,2.9,3.0,2.55,36,0,0,453,1356,-903,39,61,18,18,2,6,279,415,66,64,13,25,11,11,44,50,17,13,9,17,5,3,17,12,151,155,10,20,2,4,6,10,4,10,4-3-3,6.7,4-2-3-1,6.73,12.18,4.27,,,7.25,28.5,15.125,14.875,16.0,14.277777777777779
144,Зенит,Спартак,Сергей Карасев,1.7,3.8,4.75,30,1,1,2299,285,2014,59,41,16,14,3,3,446,317,55,66,30,10,22,18,64,54,17,11,20,19,8,2,8,11,136,114,26,5,9,2,19,2,7,3,4-3-1-2,7.07,3-4-1-2,7.05,4.67,10.0,,,6.0,26.0,8.88888888888889,9.166666666666666,14.333333333333334,14.166666666666666
145,Краснодар,Уфа,Кирилл Левников,1.44,4.5,7.0,9,1,0,1813,588,1225,68,32,4,5,1,4,694,312,78,69,14,19,17,13,42,34,18,13,12,13,8,9,21,20,141,144,15,9,6,1,10,9,5,0,4-2-3-1,7.0,3-5-2,6.72,6.59,27.08,,,5.909090909090909,22.454545454545453,12.222222222222221,11.352941176470589,15.333333333333334,15.38888888888889
146,Химки,Локомотив,Алексей Валерьевич Матюнин,3.75,3.3,2.0,24,1,2,2019,687,1332,58,42,11,13,1,2,498,363,53,82,30,17,13,11,65,49,25,21,20,16,7,6,21,15,190,194,20,10,8,5,16,9,4,1,3-4-2-1,6.81,4-4-2,6.89,5.34,11.67,,,4.777777777777778,22.444444444444443,12.88888888888889,13.555555555555555,13.555555555555555,13.166666666666666
147,Ахмат,Рубин Казань,Станислав Васильев,2.2,3.1,3.4,21,0,0,1378,547,831,56,44,7,14,1,3,410,329,76,56,21,7,17,11,57,54,19,15,19,22,6,1,18,39,205,189,14,13,3,4,7,9,7,4,4-2-3-1,6.83,4-3-3,6.84,4.59,5.61,,,6.222222222222222,24.22222222222222,16.444444444444443,16.88888888888889,11.333333333333334,11.277777777777779
148,Ростов,ЦСКА,Владимир Москалев,3.6,3.2,2.1,26,0,1,991,1200,-209,52,48,13,13,3,5,481,449,56,53,24,12,26,28,66,50,13,7,23,18,1,2,15,15,154,140,11,17,4,8,6,10,5,7,4-1-4-1,6.86,4-2-3-1,6.95,8.26,10.29,,,5.444444444444445,24.11111111111111,11.142857142857142,13.0,13.625,11.666666666666666
149,Тамбов,Урал,Сергей Иванов,3.3,3.0,2.4,31,1,1,1261,880,381,49,51,14,17,4,2,454,468,76,74,25,22,7,6,57,54,19,23,18,14,5,2,11,12,161,171,11,11,5,4,7,9,4,2,5-3-2,6.74,4-2-3-1,6.86,9.35,10.35,,,5.909090909090909,25.363636363636363,12.88888888888889,12.38888888888889,12.777777777777779,12.166666666666666
