,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
138,Верона,Рома,Марко Гуида,4.75,3.9,1.72,26,1,2,1264,744,520,57,43,12,14,3,3,449,334,47,69,29,14,17,7,51,37,22,15,8,6,6,5,10,6,138,135,8,12,2,5,7,6,1,6,3-4-1-2,6.84,4-2-3-1,6.92,10.47,19.53,,,7.8,29.6,14.428571428571429,15.076923076923077,14.333333333333334,15.538461538461538
139,Кальяри,Сампдория,Джанлука Аурелиано,1.95,3.4,4.0,28,0,1,1834,844,990,64,36,16,12,3,1,589,334,57,63,52,18,18,16,57,64,21,19,18,21,6,4,7,12,161,141,17,12,7,5,8,6,9,6,4-3-3,6.87,4-3-1-2,6.78,6.77,13.76,,,4.0,20,14.285714285714286,14.461538461538462,14.166666666666666,14.461538461538462
140,Интер,Рома,Джанпаоло Кальварезе,1.75,4.0,4.5,23,0,0,1190,747,443,49,51,12,11,3,1,496,503,60,65,20,21,16,20,53,50,12,17,22,13,8,3,13,18,122,132,9,6,2,2,7,2,2,4,3-5-2,7.02,4-2-3-1,6.92,7.47,14.46,,,5.666666666666667,26.5,13.142857142857142,15.357142857142858,14.285714285714286,15.428571428571429
141,Аталанта,Верона,Паоло Валери,1.33,5.5,8.5,30,1,1,1921,640,1281,58,42,14,16,1,5,496,372,61,72,27,10,10,14,52,61,21,24,13,18,13,4,14,15,177,165,21,7,10,2,15,5,6,2,3-4-2-1,7.01,3-4-2-1,6.83,7.75,10.86,,,4.666666666666667,27.666666666666668,14.0,13.857142857142858,15.833333333333334,14.857142857142858
142,Удинезе,Наполи,Маурицио Мариани,6.5,4.2,1.5,35,1,0,242,2250,-2008,30,70,20,15,3,4,287,632,57,49,11,42,17,10,53,45,18,15,10,12,3,10,15,4,109,125,5,18,1,3,2,9,3,9,3-5-2,6.78,4-4-2,7.0,14.89,6.11,,,5.714285714285714,30.571428571428573,16.714285714285715,15.285714285714286,13.0,12.214285714285714
143,Лацио,Ювентус,Майкл Фаббри,3.0,3.5,2.3,26,1,1,776,862,-86,39,61,15,11,4,3,371,571,56,60,14,12,18,23,41,54,9,9,12,14,4,5,16,5,102,100,18,9,9,4,14,6,4,3,3-5-1-1,7.07,4-3-1-2,7.0,18.58,8.15,,,5.833333333333333,28.833333333333332,10.857142857142858,11.714285714285714,14.285714285714286,14.357142857142858
144,Лечче,Дженоа,Джанлука Рокки,2.75,3.6,2.4,35,0,2,1500,963,537,52,48,17,18,5,6,423,389,49,49,27,17,15,21,56,73,15,18,20,23,11,3,19,10,114,139,22,14,5,4,12,7,10,7,4-3-1-2,6.73,3-4-1-2,6.74,6.47,5.78,,,6.142857142857143,30.142857142857142,12.333333333333334,13.357142857142858,13.142857142857142,15.0
145,Сассуоло,Кальяри,Лука Дж. Пайретто,2.45,3.6,2.7,29,2,0,1386,425,961,56,44,10,19,3,4,508,397,57,52,21,16,22,17,60,41,12,9,17,15,8,4,12,7,113,118,16,10,2,3,11,4,5,6,4-2-3-1,6.84,4-3-2-1,6.88,9.22,11.72,,,5.833333333333333,27.666666666666668,14.142857142857142,13.714285714285714,14.666666666666666,14.571428571428571
146,СПАЛ,Брешиа,Даниэле Орсато,2.25,3.3,3.2,35,0,0,1743,529,1214,64,36,17,18,3,3,549,325,36,49,40,7,12,12,55,45,16,15,11,10,3,1,7,6,142,125,19,12,3,6,12,6,7,6,4-2-3-1,6.8,4-3-1-2,6.73,7.77,13.48,,,6.666666666666667,27.333333333333332,12.571428571428571,13.785714285714286,13.714285714285714,14.285714285714286
147,Торино,Фиорентина,Пьеро Джакомелли,2.45,3.2,2.9,34,1,0,563,1528,-965,40,60,17,17,4,3,318,445,60,40,19,37,32,25,80,74,20,18,23,24,3,9,14,9,156,170,10,17,4,4,4,11,6,6,3-4-1-2,6.88,4-5-1,6.88,6.36,4.18,,,4.5,29.333333333333332,15.0,15.571428571428571,14.0,13.928571428571429
148,Сампдория,Парма,Росарио Абиссо,2.15,3.25,3.6,26,0,1,1729,550,1179,61,39,15,11,3,2,530,338,54,70,33,13,13,13,42,61,15,24,11,15,3,2,6,12,144,141,21,9,4,1,12,6,9,3,4-3-1-2,6.78,4-3-3,6.87,7.46,19.5,,,6.0,31.428571428571427,14.714285714285714,14.285714285714286,14.0,13.928571428571429
149,Болонья,Милан,Даниэле Чиффи,3.3,3.4,2.2,36,1,2,1247,726,521,49,51,17,19,4,2,415,435,47,78,17,6,13,16,62,55,24,21,16,9,5,1,7,12,165,152,11,12,4,7,6,8,5,4,4-2-3-1,6.79,4-3-3,6.86,5.97,7.54,,,4.833333333333333,26.166666666666668,14.0,14.928571428571429,15.0,14.571428571428571
150,Брешиа,Лечче,Массимилиано Иррати,1.9,3.8,3.8,43,2,0,835,1343,-508,38,62,17,26,4,6,305,457,57,76,8,32,8,11,48,55,10,19,8,13,4,6,6,8,119,135,13,11,9,4,9,5,4,6,4-3-1-2,6.75,4-3-1-2,6.74,12.0,4.55,,,5.166666666666667,31.5,14.857142857142858,14.533333333333333,14.125,13.6
151,Наполи,Парма,Марко Ди Белло,1.28,5.5,10.0,21,0,1,3011,212,2799,72,28,9,12,2,2,731,289,31,52,41,7,27,19,45,51,7,8,16,28,11,1,6,7,144,133,33,7,8,4,20,5,13,2,4-3-3,6.99,4-3-3,6.88,5.7,25.13,,,3.3333333333333335,27.0,11.428571428571429,12.4,13.571428571428571,13.733333333333333
152,Дженоа,Сампдория,Даниэле Довери,2.6,3.0,2.9,43,0,0,1011,594,417,63,37,17,26,5,3,482,278,43,68,30,15,18,22,72,62,25,20,12,13,4,2,11,10,152,145,9,5,1,1,6,2,3,3,3-4-1-2,6.74,4-4-2,6.78,4.8,10.71,,,4.857142857142857,31.285714285714285,16.857142857142858,15.2,13.857142857142858,14.333333333333334
153,Верона,Торино,Федерико Ла Пенна,2.7,3.0,2.9,41,0,1,1232,902,330,52,48,20,21,3,1,360,337,64,73,22,10,11,22,64,72,27,29,13,8,6,3,7,13,174,165,12,16,7,8,8,7,4,9,3-4-2-1,6.83,3-4-2-1,6.89,5.13,8.0,,,4.75,27.5,14.125,14.933333333333334,16.142857142857142,15.666666666666666
154,Болонья,Аталанта,Давиде Масса,3.6,3.8,1.95,33,1,0,566,1536,-970,40,60,15,18,5,1,324,485,69,68,13,19,16,9,61,71,24,31,16,18,4,4,20,13,157,152,14,19,4,5,7,12,7,7,4-2-3-1,6.78,3-4-1-2,7.0,8.83,5.43,,,6.833333333333333,31.5,14.428571428571429,15.066666666666666,13.75,13.866666666666667
