,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
67,Алавес,Мальорка,Карлос Дель Серро Гранде,2.37,2.9,3.5,30,0,0,1219,348,871,54,46,16,14,2,3,425,359,67,68,18,9,16,13,64,64,27,23,18,21,4,1,9,9,159,167,11,5,6,1,5,3,6,2,4-4-2,6.68,4-2-3-1,6.62,7.82,11.26,,,3.6666666666666665,24.0,14.666666666666666,16.666666666666668,18.0,14.666666666666666
68,Леванте,Осасуна,Сезар Сото Градо,2.25,3.4,3.25,24,1,0,655,1485,-830,47,53,12,12,6,0,357,390,66,68,24,32,19,9,63,45,26,14,12,13,7,11,11,11,164,158,10,18,5,3,8,11,2,7,4-4-2,6.82,4-4-2,6.77,8.57,7.61,,,3.6666666666666665,24.0,7.666666666666667,9.833333333333334,11.333333333333334,13.333333333333334
69,Севилья,Реал Сосьедад,Хавьер Альберола Рохас,2.0,3.6,3.75,17,1,1,2194,418,1776,51,49,9,8,1,1,478,458,74,52,28,4,17,9,45,50,19,21,10,14,7,0,9,12,145,130,21,5,8,2,15,3,6,2,4-3-3,6.86,4-3-3,6.9,16.29,14.89,,,2.6666666666666665,24.333333333333332,16.0,14.833333333333334,13.75,12.5
70,Бетис,Эйбар,Алехандро Эрнандес,1.9,3.6,4.0,27,0,1,793,1145,-352,57,43,7,20,3,6,455,322,69,79,17,23,22,12,67,53,25,25,13,17,4,9,8,16,152,151,12,8,3,2,8,6,4,2,4-4-2,6.75,4-3-3,6.73,11.55,7.33,,,7.0,21.0,11.75,10.857142857142858,13.0,13.428571428571429
71,Леганес,Леванте,Хосе Луис Мунуэра Монтеро,2.0,3.4,4.0,17,0,1,2132,282,1850,58,42,10,7,3,5,451,327,66,83,35,9,13,22,37,53,13,17,10,12,9,4,12,9,143,129,25,9,10,2,18,4,7,5,3-5-2,6.69,4-4-2,6.81,6.58,21.5,,,3.0,24.333333333333332,13.5,14.857142857142858,12.0,10.142857142857142
72,Реал Мадрид,Гранада,Сантьяго Хайме Латре,1.28,5.75,11.0,30,2,0,1454,669,785,62,38,12,18,4,5,475,279,59,50,16,15,13,15,55,46,12,14,16,15,6,2,15,7,112,103,17,8,10,5,11,5,6,3,4-3-3,7.02,4-1-4-1,6.83,8.3,9.2,,,6.666666666666667,28.666666666666668,12.666666666666666,13.285714285714286,15.0,16.285714285714285
73,Валенсия,Алавес,Эдуардо Прието Иглесиас,1.5699999999999998,4.0,6.5,23,1,0,887,844,43,56,44,7,16,1,3,476,355,59,54,16,19,10,10,55,45,19,23,14,12,4,7,8,9,130,131,10,10,3,4,6,9,4,1,4-4-2,6.82,4-4-2,6.73,18.1,14.9,,,4.666666666666667,23.0,11.75,11.714285714285714,18.666666666666668,16.571428571428573
74,Осасуна,Вильярреал,Валентин Писарро Гомес,2.6,3.3,2.75,24,0,1,1239,896,343,51,49,9,15,2,2,422,395,56,73,29,24,18,12,58,39,21,14,13,10,8,9,11,14,153,146,16,16,4,6,8,12,8,4,4-4-2,6.79,4-4-2,6.92,13.44,14.47,,,4.666666666666667,32.333333333333336,15.333333333333334,13.142857142857142,11.0,10.857142857142858
75,Мальорка,Эспаньол,Рикардо де Бургос Бенгоэчеа,2.45,3.1,3.2,22,1,0,708,1172,-464,38,62,11,11,1,3,368,591,50,54,8,21,17,11,48,39,11,7,17,17,2,4,6,8,117,114,9,11,3,3,3,8,6,3,4-2-3-1,6.6,4-2-3-1,6.66,19.14,6.79,,,6.333333333333333,21.666666666666668,13.0,14.571428571428571,14.333333333333334,11.857142857142858
76,Сельта,Атлетик,Давид Меди Хименес,2.35,3.0,3.4,28,0,0,1361,460,901,62,38,8,20,0,5,508,301,53,62,24,16,12,12,65,41,23,22,17,9,6,4,8,10,139,135,13,6,2,2,10,1,3,5,4-4-2,6.7,4-2-3-1,6.84,14.11,12.3,,,5.0,26.333333333333332,10.25,11.0,13.666666666666666,14.0
77,Вальядолид,Атл. Мадрид,Хосе Мария Санчес Мартинес,5.75,3.6,1.65,29,0,0,634,1126,-492,45,55,15,14,6,4,377,440,79,49,10,16,16,14,44,54,15,15,11,16,3,4,7,5,129,135,5,9,1,1,3,6,2,3,4-4-2,6.71,4-4-2,6.92,13.59,7.03,,,4.666666666666667,23.666666666666668,15.0,13.0,12.666666666666666,13.428571428571429
78,Реал Сосьедад,Хетафе,Пабло Гонсалес Фуэртес,2.15,3.1,3.8,35,1,0,587,1457,-870,50,50,20,15,2,4,342,324,75,96,8,20,11,14,57,60,29,26,12,9,3,8,8,10,173,191,6,13,3,4,4,8,2,5,4-2-3-1,6.87,4-4-2,6.62,4.48,6.21,,,6.0,28.666666666666668,10.0,11.857142857142858,25.333333333333332,20.0
79,футбольный клуб Барселона,Севилья,Антонио Матеу,1.44,4.75,6.5,22,3,0,1040,1157,-117,55,45,10,12,5,3,561,414,50,52,6,29,34,17,66,52,11,12,21,20,7,10,9,7,110,121,15,16,8,4,8,12,7,4,4-3-3,6.95,4-3-3,6.87,10.52,11.43,,,3.6666666666666665,25.0,9.666666666666666,10.857142857142858,14.25,14.0
80,Гранада,Осасуна,Хавьер Эстрада Фернандес,2.4,3.0,3.3,29,1,0,768,965,-197,43,57,12,17,2,8,309,400,81,67,15,14,17,14,59,62,22,25,14,15,2,7,9,8,147,153,6,9,2,4,3,7,3,2,4-2-3-1,6.79,4-2-3-1,6.8,8.11,7.79,,,6.0,30.5,18.0,16.5,11.5,12.625
81,Эйбар,футбольный клуб Барселона,Марио Мелеро Лопес,6.5,4.5,1.45,30,0,1,553,857,-304,43,57,16,14,5,0,439,595,70,53,26,4,13,12,39,51,12,14,8,14,2,2,13,8,141,130,5,9,0,4,2,7,3,2,4-4-2,6.73,4-3-3,7.0,16.22,12.83,,,6.0,26.75,14.0,14.25,11.75,10.75
82,Атл. Мадрид,Валенсия,Адриан Кордеро Вега,1.53,3.8,7.0,30,1,0,1166,1136,30,43,57,18,12,2,1,388,502,49,54,22,20,13,12,54,48,18,16,16,7,2,4,14,14,111,124,15,11,4,3,9,2,6,9,4-4-2,6.91,4-1-4-1,6.83,9.43,11.39,,,4.0,23.75,14.0,13.5,11.666666666666666,11.125
83,Хетафе,Леганес,Хуан Мартинес Мунуэра,2.15,2.9,4.0,36,0,0,569,847,-278,45,55,17,19,1,4,288,349,89,83,16,19,12,10,79,62,35,30,23,14,2,3,7,8,167,172,5,7,2,3,3,3,2,4,4-4-2,6.65,3-1-4-2,6.69,4.19,5.73,,,5.0,29.0,16.0,19.375,16.666666666666668,14.25
84,Мальорка,Реал Мадрид,Хавьер Альберола Рохас,6.0,4.333333333333334,1.53,34,1,0,335,1608,-1273,36,64,20,14,2,2,324,543,50,43,7,24,14,24,52,69,13,17,23,22,4,4,11,11,128,121,5,14,1,4,3,7,2,7,4-3-3,6.65,4-4-2,7.03,13.91,5.23,,,2.5,22.5,12.6,14.125,13.75,13.125
