Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
123,Лидс,Ньюкасл,Саймон Хупер,1.55,4.333333333333334,5.75,23,1,1,2436,508,1928,68,32,10,13,3,1,533,246,45,60,36,15,11,19,50,51,18,19,13,8,7,4,19,10,145,128,25,10,10,4,17,8,8,2,4-1-4-1,6.89,4-4-2,6.82,2.75,27.0,11.166666666666666,11.083333333333334,10.833333333333334,11.0,4.21,15.69,,
124,Лестер,Эвертон,Ли Мейсон,2.1,3.4,3.5,21,0,1,926,905,21,61,39,12,9,2,3,547,344,37,67,16,16,16,16,50,48,9,12,21,13,4,6,10,7,125,137,14,11,2,6,5,9,9,2,4-2-3-1,6.93,4-3-3,6.98,1.25,18.0,11.5,9.333333333333334,10.333333333333334,10.75,6.96,26.69,,
125,Фулхэм,Брайтон,Роберт Джонс,3.0,3.2,2.5,26,0,0,691,1435,-744,46,54,15,11,1,0,426,481,76,88,9,23,20,15,52,53,13,15,16,16,1,8,17,11,173,195,9,9,4,4,7,5,2,4,3-4-2-1,6.81,3-4-2-1,6.8,4.0,19.0,12.833333333333334,12.333333333333334,13.833333333333334,12.916666666666666,11.36,7.52,,
126,Ливерпуль,Тоттенхэм,Энтони Тейлор,1.8,3.8,4.2,17,1,1,2600,334,2266,75,25,8,9,0,2,813,254,62,57,28,10,20,13,47,52,19,15,12,26,7,4,15,14,165,137,17,8,11,2,15,5,2,3,4-3-3,6.91,4-4-2,6.96,2.75,22.625,10.5,9.75,11.333333333333334,12.833333333333334,7.35,18.05,,
127,Вест Хэм,Кристал Пэлас,Дэвид Кут,2.1,3.4,3.5,20,0,1,1029,714,315,51,49,8,12,0,3,439,422,45,43,28,14,12,14,56,57,20,18,19,23,5,3,13,4,134,140,9,8,2,2,5,7,4,1,4-2-3-1,6.91,4-4-2,6.83,4.0,28.0,12.166666666666666,11.333333333333334,10.5,11.583333333333334,12.19,10.67,,
128,Астон Вилла,Бернли,Крэйг Поусон,1.83,3.75,4.2,36,0,0,1915,359,1556,59,41,17,19,1,1,388,273,69,78,27,13,19,6,68,62,28,25,6,19,10,1,9,16,166,150,27,6,7,4,18,3,9,3,4-2-3-1,7.04,4-4-2,6.78,3.2857142857142856,22.428571428571427,9.833333333333334,11.25,11.166666666666666,10.666666666666666,5.29,5.77,,
129,Шеффилд Юнайтед,Манчестер Юнайтед,Майкл Оливер,7.0,4.5,1.44,25,1,2,899,1382,-483,40,60,17,8,3,2,362,557,77,66,17,8,15,18,53,65,20,22,20,18,6,3,10,5,150,141,12,15,6,9,9,9,3,6,5-3-2,6.68,4-2-3-1,6.87,3.0,22.1,11.666666666666666,12.0,13.666666666666666,12.833333333333334,10.76,10.43,,
130,Кристал Пэлас,Ливерпуль,Джонатан Мосс,5.25,4.0,1.61,16,0,3,585,1521,-936,35,65,5,11,1,0,397,743,63,67,12,11,21,13,46,43,14,10,10,19,5,4,9,19,148,127,5,14,3,8,4,11,1,3,4-4-2,6.83,4-3-3,6.92,2.888888888888889,22.444444444444443,12.666666666666666,11.615384615384617,9.0,9.615384615384617,22.76,7.25,,
131,Саутгемптон,Манчестер Сити,Майк Дин,6.0,4.5,1.45,20,0,1,1056,1116,-60,48,52,9,11,2,2,498,547,54,46,24,9,15,31,54,52,9,14,26,14,6,6,10,11,140,132,9,11,3,5,7,5,2,6,4-4-2,6.93,4-2-3-1,6.98,4.111111111111111,23.77777777777778,13.166666666666666,12.692307692307692,9.5,10.615384615384617,12.14,13.08,,
132,Эвертон,Арсенал,Андре Марринер,2.62,3.4,2.62,18,2,1,582,1257,-675,42,58,9,9,1,3,401,551,66,54,18,19,12,13,42,37,14,10,12,9,4,3,11,8,120,109,9,13,2,2,3,9,6,4,4-2-3-1,6.99,3-4-3,6.85,2.0,17.428571428571427,11.166666666666666,10.615384615384617,10.166666666666666,10.0,31.3,13.47,,
133,Ньюкасл,Фулхэм,Грэм Скотт,2.87,3.3,2.5,24,0,1,949,1348,-399,49,51,7,17,1,3,470,480,59,64,19,22,6,18,55,43,22,16,12,7,2,9,20,12,125,143,12,11,5,4,6,6,6,5,4-4-2,6.79,3-4-2-1,6.82,3.0,21.8,11.166666666666666,11.153846153846152,11.833333333333334,12.538461538461538,14.53,16.94,,
134,Брайтон,Шеффилд Юнайтед,Питер Бэнкс,1.83,3.4,4.75,20,0,0,2390,347,2043,73,27,9,11,1,5,545,203,55,50,37,9,13,9,54,52,23,27,12,12,14,2,1,7,138,115,21,5,5,3,16,3,5,2,3-4-2-1,6.81,5-3-2,6.68,3.4,21.4,12.0,12.76923076923077,12.333333333333334,12.384615384615383,7.6,24.18,,
135,Тоттенхэм,Лестер,Крэйг Поусон,2.05,3.5,3.6,29,0,1,1360,875,485,56,44,15,14,2,2,518,406,57,72,23,12,19,20,76,66,30,24,20,19,5,3,8,10,164,144,8,17,3,4,5,12,3,5,4-2-3-1,6.95,4-2-3-1,6.92,3.125,24.125,14.333333333333334,12.538461538461538,7.166666666666667,9.538461538461538,9.48,11.78,,
136,Манчестер Юнайтед,Лидс,Энтони Тейлор,1.7,4.2,4.333333333333334,12,4,1,1536,1307,229,41,59,6,6,1,0,354,478,33,56,12,35,26,11,61,43,17,18,19,16,11,13,10,13,124,151,26,17,14,4,19,14,7,3,4-2-3-1,6.88,4-1-4-1,6.92,2.6666666666666665,22.0,12.0,12.461538461538462,11.0,11.0,15.72,11.67,,
137,Вест Бромвич,Астон Вилла,Мартин Аткинсон,4.5,4.0,1.72,22,0,1,170,2467,-2297,32,68,14,8,1,2,282,576,69,52,10,27,16,20,50,68,19,29,15,11,1,7,16,10,135,147,1,19,1,10,0,11,1,8,4-1-4-1,6.72,4-2-3-1,7.05,2.0,19.5,12.0,11.384615384615383,12.666666666666666,11.692307692307692,14.32,8.35,,
138,Бернли,Вулверхэмптон,Ли Мейсон,3.4,3.1,2.3,26,1,0,963,1360,-397,36,64,11,15,2,1,260,463,60,64,16,22,8,24,52,48,18,12,14,11,1,7,10,15,125,126,10,15,4,3,6,9,4,6,4-4-2,6.8,3-4-1-2,6.86,2.0,18.6,10.166666666666666,11.307692307692308,10.833333333333334,12.23076923076923,14.06,4.55,,
139,Челси,Вест Хэм,Крис Кавана,1.53,4.333333333333334,5.75,17,1,0,1455,1253,202,53,47,11,6,0,0,527,443,63,53,19,25,21,8,52,63,24,25,16,20,5,4,16,13,140,150,11,6,7,0,9,6,2,0,4-3-3,7.0,4-2-3-1,6.9,3.375,24.875,12.5,12.307692307692308,10.5,11.076923076923077,13.11,16.16,,
140,Лестер,Манчестер Юнайтед,Майк Дин,2.9,3.6,2.3,27,1,1,1167,733,434,54,46,10,17,2,1,507,439,69,33,22,7,18,17,55,51,12,10,17,20,5,0,14,9,156,143,10,9,2,4,5,8,5,1,4-2-3-1,6.93,4-2-3-1,6.92,4.1,23.4,11.571428571428571,9.857142857142858,12.857142857142858,12.0,10.33,9.26,,
141,Астон Вилла,Кристал Пэлас,Энтони Тейлор,1.8,3.75,4.333333333333334,34,1,0,1260,1032,228,38,62,18,16,3,4,298,475,66,43,17,27,21,19,76,58,30,20,17,12,4,4,12,7,124,143,20,13,9,6,17,6,3,7,4-2-3-1,7.08,4-4-2,6.77,2.5,21.0,10.857142857142858,11.428571428571429,10.714285714285714,11.142857142857142,9.84,7.57,,
142,Фулхэм,Саутгемптон,Англия Даррен,2.87,3.3,2.5,27,0,0,833,935,-102,46,54,15,12,2,0,331,396,55,68,24,12,27,22,67,72,20,16,24,34,6,3,15,19,182,180,10,3,1,2,7,1,3,2,3-5-2,6.82,4-4-2,6.92,3.333333333333333,24.33333333333333,13.142857142857142,12.857142857142858,12.285714285714286,12.428571428571429,8.62,4.51,,
