Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
187,Болонья,Кремонезе,Маттео Маркетти,1.75,3.3,5.25,24,1,1,1770,306,1464,68,32,11,13,2,5,632,277,55,51,19,18,13,12,51,41,17,13,15,13,4,1,9,12,145,153,21,9,8,2,7,7,14,2,16,23,525,182,4-3-3,6.78,3-5-2,6.76,5.26,19.58,,
188,Интер,Эмполи,Антонио Рапуано,1.29,5.75,10.0,29,0,1,1067,956,111,49,51,13,16,4,3,472,517,63,51,30,11,5,12,54,40,14,14,23,11,2,3,11,4,135,132,16,13,1,8,11,8,5,5,10,36,385,439,3-5-2,6.91,4-3-1-2,6.79,14.54,13.29,,
189,Лацио,Милан,Марко Ди Белло,2.8,3.25,2.55,25,4,0,1122,736,386,50,50,14,11,1,2,492,496,35,44,6,9,14,22,52,47,8,7,26,16,3,4,11,14,122,129,10,10,5,3,7,6,3,4,6,4,415,416,4-3-3,6.93,4-2-3-1,6.94,10.0,13.91,,
190,Болонья,Специя,Лука Массими,1.85,3.4,4.5,24,2,0,1684,560,1124,58,42,8,16,2,2,555,402,62,54,13,14,12,21,53,43,9,8,20,18,5,5,18,7,157,162,18,6,6,4,14,3,4,3,13,21,450,293,4-2-3-1,6.79,3-4-1-2,6.72,8.96,12.88,,
191,Лечче,Салернитана,Давиде Масса,1.75,3.5,5.0,25,1,2,1539,631,908,60,40,14,11,2,4,532,362,60,60,30,13,15,16,62,61,23,17,22,21,4,4,8,12,160,175,15,10,5,6,9,4,6,6,18,15,432,248,4-3-3,6.76,4-3-3,6.72,6.12,10.78,,
192,Эмполи,Торино,Маттео Марсенаро,3.1,3.0,2.5,21,2,2,985,1312,-327,46,54,12,9,2,0,382,447,63,63,15,14,10,10,41,47,15,14,16,17,5,5,9,9,135,142,11,16,4,4,4,7,7,9,19,17,302,349,4-3-1-2,6.8,3-4-1-2,6.81,11.16,15.57,,
193,Кремонезе,Интер,Маурицио Мариани,7.0,4.5,1.45,19,1,2,451,2449,-1998,35,65,7,12,0,2,327,594,50,53,13,37,14,7,27,46,6,19,7,16,2,14,12,9,108,113,12,30,4,10,7,22,5,8,36,11,251,520,3-5-2,6.75,3-5-2,6.91,36.22,8.0,,
194,Аталанта,Сампдория,Даниэле Довери,1.33,5.0,9.5,28,2,0,1873,741,1132,62,38,17,11,0,2,638,382,39,57,17,17,23,16,62,55,24,10,15,23,7,4,9,4,133,148,21,15,5,5,15,8,6,7,20,14,558,284,3-4-2-1,6.86,3-4-2-1,6.69,10.0,17.65,,
195,Милан,Сассуоло,Антонио Джуа,1.44,4.75,6.5,21,2,5,1510,866,644,61,39,13,8,7,4,415,270,64,52,23,10,16,12,48,44,13,10,21,18,2,3,6,10,149,133,9,9,5,7,5,7,4,2,7,24,320,199,4-2-3-1,6.91,4-2-3-1,6.76,5.04,16.8,,
196,Ювентус,Монца,Джанлука Аурелиано,1.6,4.0,5.75,22,0,2,2105,657,1448,46,54,12,10,0,2,416,535,50,59,37,5,20,12,45,47,17,10,13,22,12,1,7,9,142,131,22,3,8,3,13,3,9,0,9,29,347,449,3-5-2,6.97,3-4-2-1,6.81,17.9,25.6,,
197,Лацио,Фиорентина,Андреа Коломбо,2.0,3.4,3.75,29,1,1,787,1151,-364,45,55,12,17,2,3,475,593,51,60,12,13,11,16,49,42,12,13,20,11,3,4,13,11,128,140,13,17,1,6,11,8,2,9,16,13,381,496,4-3-3,6.94,4-3-3,6.82,13.1,10.68,,
198,Наполи,Рома,Даниэле Орсато,1.75,3.5,5.0,22,2,1,1142,821,321,57,43,8,14,1,2,600,445,45,63,11,20,13,22,51,45,13,10,18,19,3,8,2,15,146,150,11,11,6,3,6,9,5,2,20,11,509,347,4-3-3,7.03,3-4-2-1,6.89,16.53,18.94,,
199,Удинезе,Верона,Лука Дж. Пайретто,1.91,3.4,4.2,20,1,1,2022,803,1219,55,45,9,11,1,3,399,328,52,62,24,12,20,12,62,57,17,23,25,22,14,6,7,13,152,145,26,10,8,2,16,5,10,5,22,18,315,244,3-5-2,6.85,3-4-2-1,6.72,10.82,10.42,,
200,Кремонезе,Лечче,Даниэле Орсато,2.7,3.1,2.75,27,0,2,899,845,54,58,42,12,15,1,2,516,358,72,67,15,25,13,15,56,61,23,21,16,22,4,8,7,12,164,168,12,9,3,4,6,7,6,2,18,16,417,253,3-5-2,6.76,4-3-3,6.77,10.13,10.44,,
201,Рома,Эмполи,Федерико Диониси,1.5,4.2,6.5,28,2,0,1481,1422,59,45,55,10,18,2,1,405,507,59,42,16,21,7,31,57,41,11,8,23,6,7,7,15,4,113,135,12,11,6,2,12,5,0,6,24,16,328,430,3-4-2-1,6.88,4-3-1-2,6.79,16.53,10.42,,
202,Сассуоло,Аталанта,Маттео Марсенаро,3.75,3.75,1.91,25,1,0,1336,1067,269,54,46,12,13,5,1,527,442,56,53,14,23,14,13,47,41,12,14,17,13,2,7,3,7,110,136,18,7,8,2,10,5,8,2,27,13,455,363,4-3-3,6.76,3-5-2,6.88,16.53,15.0,,
203,Специя,Наполи,Марко Ди Белло,8.0,5.0,1.36,37,0,3,509,1997,-1488,31,69,19,18,3,2,280,632,37,43,9,20,21,26,57,72,4,15,21,22,3,6,12,13,133,137,9,12,3,5,3,8,6,4,24,10,200,545,3-5-2,6.71,4-3-3,7.03,13.22,4.66,,
204,Торино,Удинезе,Алессандро Пронтера,2.45,3.2,3.0,21,1,0,1159,1082,77,56,44,13,8,1,2,466,358,41,53,14,23,22,11,35,52,10,10,10,21,6,5,6,7,125,136,11,11,4,3,8,7,3,4,24,13,392,274,3-4-2-1,6.81,3-5-2,6.86,10.05,20.85,,
205,Фиорентина,Болонья,Лука Дж. Пайретто,1.8,3.6,4.5,35,1,2,1884,869,1015,62,38,10,25,2,4,511,329,51,54,25,5,22,14,67,49,15,13,12,19,5,3,9,18,172,132,17,11,6,7,10,8,7,3,6,35,409,231,4-3-3,6.81,4-2-3-1,6.81,7.71,6.68,,
206,Интер,Милан,Давиде Масса,1.95,3.4,4.0,27,1,0,1924,361,1563,64,36,13,14,2,5,572,327,55,54,30,7,11,11,52,46,15,17,13,10,8,0,8,3,145,129,15,4,4,0,9,2,6,2,9,26,479,243,3-5-2,6.93,3-5-2,6.89,7.58,21.69,,
207,Верона,Лацио,Джованни Айрольди,4.2,3.4,1.91,28,1,1,1155,1317,-162,36,64,16,12,4,1,316,574,78,55,17,18,16,13,47,55,11,23,16,13,6,5,7,6,158,167,15,9,4,2,8,6,7,3,20,16,210,460,3-4-1-2,6.73,4-3-3,6.94,13.0,6.61,,
208,Монца,Сампдория,Даниэле Чиффи,1.75,3.5,4.75,24,2,2,2004,568,1436,72,28,12,12,2,4,635,259,54,49,34,8,20,10,49,48,16,12,12,21,9,3,4,8,163,126,17,11,5,6,12,9,5,2,9,35,547,175,3-4-2-1,6.83,3-4-2-1,6.69,6.3,20.21,,
209,Салернитана,Ювентус,Антонио Рапуано,6.5,4.2,1.5,21,0,3,1067,977,90,53,47,9,12,1,1,551,497,54,55,26,13,12,12,46,34,7,10,22,10,6,3,10,8,131,121,10,17,1,5,4,11,6,6,10,26,470,427,4-3-3,6.73,3-5-2,6.95,10.71,16.47,,
210,Милан,Торино,Джованни Айрольди,1.75,3.5,5.0,30,1,0,731,1003,-272,46,54,10,20,1,4,408,468,66,56,11,20,13,21,74,52,20,14,28,19,3,8,10,7,149,155,9,12,4,2,8,7,1,5,18,11,315,385,3-4-2-1,6.87,3-4-2-1,6.81,10.41,7.96,,
211,Эмполи,Специя,Антонио Джуа,1.95,3.4,4.0,23,2,2,2210,470,1740,65,35,10,13,1,5,562,311,42,59,25,9,10,9,39,45,6,21,16,10,7,3,6,9,112,120,25,9,8,3,15,4,10,5,8,33,491,237,4-3-1-2,6.78,3-5-2,6.69,6.52,23.07,,
212,Лечче,Рома,Джанлука Аурелиано,4.2,3.2,2.0,32,1,1,633,1430,-797,42,58,24,8,4,1,343,474,59,60,18,15,20,26,57,72,16,21,24,17,3,7,7,7,160,179,8,12,3,5,3,7,5,5,26,11,244,363,4-3-3,6.78,3-4-2-1,6.89,7.69,12.0,,
213,Лацио,Аталанта,Даниэле Орсато,2.25,3.2,3.4,26,0,2,1279,1143,136,60,40,12,14,1,2,663,435,59,53,13,12,14,25,52,52,14,11,18,11,5,7,10,12,154,144,13,23,5,10,4,12,9,11,11,31,549,332,4-3-3,6.93,3-5-2,6.87,7.38,20.47,,
214,Удинезе,Сассуоло,Ивано Пеццуто,2.0,3.4,3.6,20,2,2,1421,732,689,47,53,12,8,2,2,394,443,50,57,26,21,11,25,47,41,13,11,23,12,10,7,6,9,112,111,17,6,8,1,11,6,6,0,15,23,344,393,3-5-1-1,6.86,4-3-3,6.77,12.79,19.21,,
215,Болонья,Монца,Лука Зуфферли,2.3,3.1,3.3,33,0,1,1994,361,1633,63,37,15,18,1,4,505,308,67,58,35,6,15,19,65,58,17,12,23,24,3,2,7,7,158,147,13,5,4,4,10,3,3,2,5,36,427,218,4-2-3-1,6.81,3-4-2-1,6.83,4.67,15.88,,
216,Ювентус,Фиорентина,Майкл Фаббри,1.73,3.6,5.25,28,1,0,784,1342,-558,44,56,11,17,5,2,377,464,60,59,13,29,14,11,50,43,15,11,10,14,5,6,6,9,136,146,7,11,3,2,5,7,2,4,18,11,289,385,3-4-2-1,6.96,4-3-3,6.81,17.0,7.16,,
