Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
214,Брайтон,Борнмут,Крэйг Поусон,1.36,5.0,7.5,21,1,0,2172,302,1870,72,28,14,7,3,1,682,264,39,53,31,12,17,19,40,59,7,17,17,20,7,3,2,9,138,118,20,12,6,2,14,8,6,4,4,24,609,191,3-4-2-1,6.9,4-4-1-1,6.7,6.95,23.27,,
215,Манчестер Юнайтед,Кристал Пэлас,Андре Марринер,1.36,5.0,8.0,18,2,1,1607,920,687,53,47,9,9,1,2,487,426,38,42,17,19,12,16,42,39,11,8,21,16,5,5,5,13,124,138,14,10,5,3,10,9,4,1,16,15,416,342,4-2-3-1,6.91,4-2-3-1,6.79,13.82,16.47,,
216,Вулверхэмптон,Ливерпуль,Пол Тирни,4.0,3.8,1.83,16,3,0,719,1761,-1042,42,58,9,7,1,1,407,544,74,40,5,32,10,8,41,40,14,16,16,10,2,7,4,10,131,148,12,22,6,4,7,12,5,10,39,7,305,465,4-4-2,6.77,4-3-3,6.91,27.82,11.7,,
217,Ньюкасл,Вест Хэм,Питер Бэнкс,1.65,3.8,5.5,24,1,1,1278,680,598,63,37,11,13,2,1,557,329,60,68,18,15,12,10,51,50,20,15,13,19,4,2,9,17,154,146,8,10,2,1,7,6,1,4,23,21,449,227,4-3-3,6.99,3-4-2-1,6.84,8.05,10.58,,
218,Ноттингем Форест,Лидс,Роберт Джонс,2.75,3.3,2.6,29,1,0,226,1750,-1524,30,70,15,14,4,2,253,585,76,69,8,17,17,21,77,72,28,30,26,19,0,2,15,2,189,212,6,10,2,4,4,6,2,4,25,10,138,438,4-3-1-2,6.76,4-2-3-1,6.76,14.43,3.33,,
219,Тоттенхэм,Манчестер Сити,Энди Мэдли,3.8,3.8,1.91,33,1,0,400,1634,-1234,35,65,19,14,4,3,303,556,45,30,10,27,15,11,43,59,9,16,14,19,4,6,9,7,116,123,12,15,3,5,9,10,3,5,24,13,226,487,3-4-2-1,6.91,4-4-2,7.09,20.21,5.8,,
220,Вест Хэм,Челси,Крэйг Поусон,3.4,3.3,2.2,20,1,1,604,1865,-1261,28,72,9,11,1,1,247,660,33,35,16,21,12,22,56,61,15,18,23,21,5,6,7,7,110,123,10,12,2,4,8,6,2,6,25,17,187,597,3-4-2-1,6.84,4-2-3-1,6.89,21.33,5.65,,
221,Арсенал,Брентфорд,Питер Бэнкс,1.5,4.333333333333334,6.5,18,1,1,2145,416,1729,69,31,9,9,0,2,590,267,32,66,36,14,17,9,45,58,13,32,10,12,7,4,4,6,133,120,23,9,7,2,13,7,10,2,16,34,510,177,4-3-3,7.01,3-5-2,6.85,6.47,12.0,,
222,Кристал Пэлас,Брайтон,Майкл Оливер,4.75,3.75,1.75,21,1,1,355,2184,-1829,26,74,10,11,4,1,240,705,64,34,13,25,15,18,48,61,10,16,19,23,1,6,15,11,130,125,6,17,1,7,5,13,1,4,22,17,169,634,4-4-2,6.78,4-2-3-1,6.9,21.62,3.63,,
223,Фулхэм,Ноттингем Форест,Энди Мэдли,1.91,3.5,4.333333333333334,20,2,0,1602,1024,578,50,50,9,11,0,1,396,408,45,54,29,16,22,11,57,42,18,16,10,10,5,4,15,10,128,134,16,10,3,1,12,7,4,3,17,18,313,314,4-2-3-1,6.86,4-2-3-1,6.77,11.22,11.45,,
224,Лестер,Тоттенхэм,Солсбери Майкл,3.5,3.75,2.0,23,4,1,1156,937,219,49,51,14,9,5,2,454,468,56,37,5,13,14,30,56,65,10,26,27,10,1,5,12,9,135,140,15,11,7,4,12,8,3,3,8,10,356,387,4-2-3-1,6.82,3-4-2-1,6.91,7.07,16.19,,
225,Саутгемптон,Вулверхэмптон,Джарред Джиллетт,2.9,3.1,2.55,26,1,2,1214,644,570,41,59,12,14,2,5,329,492,67,77,22,11,24,20,74,61,31,15,16,21,5,2,10,6,161,147,17,11,2,2,12,7,5,4,15,31,232,396,5-3-2,6.73,4-2-3-1,6.79,8.47,5.95,,
226,Борнмут,Ньюкасл,Стюарт Аттвелл,5.75,3.8,1.62,18,1,1,504,1609,-1105,33,67,8,10,2,3,276,566,53,55,17,22,19,23,61,56,17,16,20,15,4,6,17,9,147,172,11,15,5,7,7,10,4,5,29,15,184,463,4-4-1-1,6.7,4-3-3,6.98,15.5,4.59,,
