Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
67,Жирона,Реал Сосьедад,Марио Мелеро Лопес,3.25,3.2,2.3,28,3,5,903,1305,-402,40,60,9,19,3,1,316,485,46,53,17,8,21,10,55,55,12,18,15,24,2,2,15,4,117,114,16,11,8,5,11,8,5,3,11,14,246,412,5-3-2,6.82,4-4-2,6.81,14.16,6.07,,
68,Реал Мадрид,Осасуна,Гильермо Куадра Фернандес,1.36,5.25,7.5,22,1,1,2228,370,1858,64,36,9,13,1,2,605,350,31,57,31,8,15,7,38,35,12,9,6,14,10,2,8,9,108,94,22,8,4,2,12,6,10,2,7,27,550,281,4-3-3,7.05,4-1-4-1,6.81,8.86,24.85,,
69,Райо Вальекано,Эльче,Хорхе Фигероа Васкес,1.53,4.2,6.5,24,2,1,2667,186,2481,72,28,5,19,1,8,535,218,69,64,39,9,16,17,56,40,11,8,21,19,13,3,8,9,152,135,15,6,6,2,8,4,7,2,12,40,455,137,4-2-3-1,6.72,5-3-2,6.49,3.73,14.06,,
70,Осасуна,Валенсия,Мигель Анхель Ортис Ариас,2.55,3.2,2.88,30,1,2,890,1324,-434,45,55,11,19,3,6,318,396,76,67,14,18,7,9,52,51,14,20,14,19,7,5,14,7,148,147,11,15,2,7,9,11,2,4,16,16,225,301,4-5-1,6.81,4-4-2,6.86,16.17,7.48,,
71,Альмерия,Райо Вальекано,Пабло Гонсалес Фуэртес,3.2,3.2,2.38,34,3,1,893,1137,-244,37,63,22,12,4,2,261,453,71,54,17,29,17,11,61,52,13,8,31,18,7,6,2,8,137,153,10,12,4,4,6,8,4,4,25,15,175,379,4-2-3-1,6.72,4-4-2,6.74,9.15,4.76,,
72,Атл. Мадрид,Жирона,Хуан Мартинес Мунуэра,1.36,4.75,9.0,25,2,1,1055,887,168,45,55,12,13,3,1,505,608,50,38,15,24,18,21,46,52,9,10,18,19,8,3,15,12,113,126,13,11,7,4,11,4,2,7,21,12,433,541,5-4-1,6.93,5-3-2,6.77,15.88,10.94,,
73,Севилья,Атлетик Бильбао,Хесус Хиль Мансано,3.4,3.4,2.15,33,1,1,627,1605,-978,46,54,19,14,4,0,363,429,61,42,17,29,9,14,49,49,15,17,18,9,5,7,8,12,138,132,10,21,3,4,7,14,3,7,21,12,261,353,4-2-3-1,6.73,4-2-3-1,7.0,12.71,7.16,,
74,Хетафе,Реал Мадрид,Антонио Матеу Лаос,7.0,4.5,1.4,15,0,1,479,1754,-1275,34,66,10,5,0,0,381,740,57,51,12,11,6,22,29,45,13,9,11,13,4,4,7,7,132,118,9,19,2,4,4,8,5,11,17,13,284,666,5-3-2,6.65,4-3-3,7.03,33.77,17.58,,
75,Вальядолид,Бетис,Карлос Дель Серро Гранде,2.8,3.4,2.4,28,0,0,1381,377,1004,59,41,12,16,1,1,509,356,56,44,23,7,21,13,46,52,10,13,16,24,3,1,7,5,137,131,12,4,3,1,4,4,8,0,17,21,436,282,4-3-3,6.76,4-2-3-1,6.9,9.76,12.39,,
76,Кадис,Эспаньол,Алехандро Эрнандес,2.88,3.1,2.6,25,2,2,1667,1286,381,53,47,13,12,4,4,372,352,70,74,30,11,8,10,53,58,27,20,10,20,8,3,3,10,168,124,8,9,3,6,6,7,2,2,19,46,271,264,4-4-2,6.6,4-2-3-1,6.75,11.12,7.38,,
77,Реал Сосьедад,Вильярреал,Сесар Сото Градо,2.5,3.4,2.75,39,1,0,2030,412,1618,60,40,21,18,5,3,522,340,43,49,16,8,18,8,56,48,11,7,24,20,9,3,6,4,110,113,17,5,5,1,12,3,5,2,17,14,468,279,4-1-3-2,6.83,4-4-2,6.97,6.71,10.96,,
78,футбольный клуб Барселона,Сельта,Хосе Луис Мунуэра Монтеро,1.3,6.0,9.5,25,1,0,1612,762,850,58,42,16,9,2,4,565,411,64,52,20,18,19,20,51,48,14,13,17,12,6,3,8,15,127,131,13,14,5,3,11,10,2,4,20,13,495,334,4-3-3,7.16,4-1-3-2,6.73,8.63,14.05,,
79,Эльче,Мальорка,Валентин Писарро Гомес,3.25,3.0,2.4,29,1,1,657,1667,-1010,42,58,12,17,4,5,319,438,56,55,14,27,6,9,52,43,18,15,15,13,5,7,3,8,113,121,7,11,2,4,4,8,3,3,22,9,243,372,5-3-2,6.5,3-4-2-1,6.77,18.57,7.04,,
80,Райо Вальекано,Хетафе,Марио Мелеро Лопес,1.91,3.25,4.75,30,0,0,1903,255,1648,65,35,13,17,2,3,580,323,74,74,36,4,11,9,50,39,22,11,8,12,4,1,7,13,157,130,17,6,3,3,8,3,9,3,8,33,486,223,4-2-3-1,6.71,5-3-2,6.64,7.65,25.42,,
81,Жирона,Кадис,Рикардо де Бургос Бенгоэчеа,1.91,3.3,4.5,25,1,1,2117,458,1659,65,35,16,9,5,4,483,278,45,72,45,11,16,7,44,46,19,10,12,17,6,2,6,5,136,120,23,9,6,2,15,6,8,3,11,40,417,191,5-3-2,6.77,4-4-2,6.61,5.4,25.22,,
82,Валенсия,Эльче,Хуан Луис Пулидо Сантана,1.4,4.75,7.0,33,2,2,2172,457,1715,60,40,14,19,3,6,477,326,34,62,24,7,22,11,61,62,11,17,22,28,6,1,7,7,138,126,20,8,8,6,15,8,5,0,8,37,406,244,4-3-3,6.86,5-4-1,6.51,6.89,11.71,,
83,Мальорка,Севилья,Хавьер Иглесиас Вильянуэва,3.2,2.88,2.55,32,0,1,851,1223,-372,43,57,17,15,2,3,370,500,44,52,16,12,8,7,44,38,11,13,13,6,1,3,4,14,123,130,9,4,5,1,6,1,3,3,20,11,295,417,5-4-1,6.77,3-4-2-1,6.74,19.79,11.1,,
84,Атлетик Бильбао,Атл. Мадрид,Хорхе Фигероа Васкес,2.25,3.2,3.4,31,0,1,1807,338,1469,61,39,14,17,0,6,566,382,56,69,34,7,16,11,54,71,18,21,18,32,6,1,7,14,189,164,13,3,3,1,7,2,6,1,8,25,453,271,4-2-3-1,6.97,4-4-2,6.93,7.14,11.6,,
85,Сельта,Реал Сосьедад,Гильермо Куадра Фернандес,2.38,3.1,3.25,31,1,2,1037,866,171,54,46,14,17,5,7,455,396,57,51,21,12,11,15,57,50,9,13,26,14,1,6,6,13,131,147,10,8,3,6,3,6,7,2,12,23,381,312,4-1-3-2,6.73,4-4-2,6.85,7.1,8.39,,
