Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
164,Лион,Клермон,Стефани Фраппар,1.55,4.2,5.75,34,0,1,1491,603,888,60,40,21,13,1,3,543,358,51,51,13,7,26,14,57,54,12,6,21,26,7,4,11,14,130,135,13,13,2,3,8,4,5,9,13,10,468,272,4-2-3-1,6.91,3-4-2-1,6.8,5.5,13.44,,
165,Ленс,ПСЖ,Жером Брисар,3.5,3.5,2.05,28,3,1,849,1662,-813,41,59,16,12,2,3,400,577,55,26,6,19,18,19,48,42,8,5,21,13,3,7,11,6,110,117,10,16,4,6,7,11,3,5,23,11,325,511,3-4-2-1,6.96,4-3-1-2,7.12,9.31,12.35,,
166,Страсбург,Труа,Бенуа Милло,1.85,3.75,4.0,22,2,3,1986,552,1434,56,44,10,12,1,3,541,443,66,74,21,2,10,13,68,55,41,23,10,15,3,1,10,13,159,148,17,9,7,5,9,7,8,2,5,32,439,324,4-3-1-2,6.8,4-2-3-1,6.78,9.85,18.5,,
167,Лилль,Реймс,Эрик Ваттелье,1.62,4.0,5.25,20,1,1,1310,454,856,62,38,8,12,1,1,602,368,45,52,13,8,30,12,57,41,8,6,22,24,5,1,7,9,130,133,14,9,5,6,12,4,2,5,13,9,527,289,3-4-2-1,6.86,4-2-3-1,6.81,10.8,14.63,,
168,Монпелье,Марсель,Рудди Буке,5.25,4.2,1.62,24,1,2,476,1662,-1186,40,60,10,14,2,2,317,483,43,64,18,24,16,21,52,43,12,9,19,18,5,7,6,12,127,128,8,17,1,8,6,12,2,5,16,13,242,407,4-2-3-1,6.75,3-4-2-1,6.91,14.11,7.09,,
169,Ренн,Ницца,Томас Леонард,1.83,3.75,4.333333333333334,23,2,1,1839,649,1190,62,38,16,7,1,1,633,390,50,47,21,6,18,17,40,56,10,13,16,22,5,2,13,10,130,126,20,6,5,3,18,2,2,4,6,24,560,300,4-4-2,6.9,3-4-2-1,6.85,6.74,17.25,,
170,Аяччо,Реймс,Вилли Делайод,3.4,3.0,2.3,42,0,1,1228,807,421,48,52,20,22,3,3,365,425,60,76,32,11,17,11,69,65,24,20,14,19,2,2,12,10,184,162,11,9,1,3,4,6,7,3,9,25,252,305,4-4-2,6.71,4-2-3-1,6.8,8.1,7.05,,
171,Осер,Тулуза,Флоран Батта,3.1,3.3,2.3,35,0,5,1558,1256,302,47,53,22,13,3,1,323,374,43,55,29,13,11,11,53,61,16,19,20,16,7,4,6,10,129,120,18,9,4,7,12,8,6,1,11,27,258,300,4-4-2,6.76,4-3-3,6.82,7.47,6.3,,
172,Клермон,Ренн,Клемент Терпин,4.0,3.4,1.95,25,2,1,566,1035,-469,38,62,12,13,0,2,355,583,58,55,10,9,16,14,47,47,14,16,12,15,4,1,15,11,134,124,11,9,5,2,6,6,5,3,12,11,265,503,3-4-2-1,6.81,4-4-2,6.9,17.18,7.14,,
173,Нант,Лион,Марк Болленджер,3.6,3.75,2.0,27,0,0,928,1087,-159,39,61,12,15,2,3,367,586,69,37,22,13,18,10,49,50,17,17,10,16,6,1,13,11,143,124,13,10,5,6,9,4,4,6,19,25,277,509,4-4-2,6.82,4-3-3,6.9,21.71,9.23,,
