Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
183,Штутгарт,Кельн,Бенджамин Кортус,2.2,3.4,3.25,22,3,0,1135,1095,40,46,54,10,12,3,4,396,481,46,61,14,20,26,13,60,52,20,13,13,24,3,6,13,9,155,162,17,12,7,4,15,7,2,5,17,11,298,374,4-3-3,6.8,4-2-3-1,6.78,12.27,7.07,,
184,Вольфсбург,РБ Лейпциг,Дениз Айтекин,3.0,3.6,2.2,31,0,3,520,1704,-1184,43,57,16,15,1,1,460,604,47,59,6,16,24,25,52,62,6,17,17,13,2,5,9,12,122,127,7,16,2,5,3,10,4,6,21,16,372,526,4-2-3-1,6.87,4-2-3-1,6.88,12.45,8.59,,
185,Э. Франкфурт,Бремен,Бастиан Данкерт,1.53,4.5,5.75,24,2,0,943,539,404,45,55,15,9,1,1,485,615,54,85,14,12,19,22,50,59,12,11,21,22,5,2,4,10,154,159,11,3,6,0,8,2,3,1,12,14,389,500,3-4-2-1,6.83,3-1-4-2,6.8,14.14,13.29,,
186,Юнион Берлин,Шальке 04,Тобиас Райхель,1.7,3.5,5.5,32,0,0,1229,800,429,54,46,13,19,2,1,427,360,82,73,29,20,10,14,80,60,35,31,21,14,6,4,8,8,171,176,9,8,4,1,5,6,4,2,23,20,312,235,3-5-2,6.81,4-2-3-1,6.7,6.19,9.85,,
187,Дортмунд,Герта,Вред Осмерс,1.36,5.5,6.5,22,4,1,1385,1049,336,59,41,8,14,1,2,540,371,84,53,11,17,28,20,64,57,22,15,15,22,3,4,9,13,165,148,12,16,5,9,8,9,4,7,18,19,422,269,4-5-1,6.93,3-1-4-2,6.73,9.19,14.04,,
188,Леверкузен,Майнц 05,Роберт Шредер,1.91,3.75,3.8,33,2,3,1600,861,739,67,33,14,19,5,5,558,267,54,57,25,20,29,6,77,58,28,27,10,14,4,5,12,13,149,146,21,12,7,7,15,12,6,0,26,25,462,166,4-3-3,6.81,3-4-1-2,6.81,5.76,9.58,,
189,Майнц 05,Боруссия Мгладбах,Роберт Хартманн,2.15,3.6,3.2,23,4,0,1053,840,213,36,64,17,6,2,3,339,616,54,72,16,7,7,24,47,60,17,13,22,14,3,3,11,14,146,163,14,9,8,2,10,4,4,5,7,22,243,507,3-4-2-1,6.81,4-2-3-1,6.89,10.54,12.75,,
190,Герта,Аугсбург,Матиас Йолленбек,2.05,3.6,3.4,35,2,0,669,798,-129,44,56,16,19,1,3,316,392,66,85,14,24,15,16,70,59,25,17,20,19,1,6,10,4,170,198,11,8,3,1,6,5,5,3,22,12,198,267,3-5-2,6.72,4-4-2,6.75,7.5,6.21,,
191,Хоффенхайм,Дортмунд,Мартин Петерсен,4.333333333333334,4.5,1.67,18,0,1,1059,1937,-878,44,56,11,7,3,1,366,483,47,54,21,17,18,31,62,62,14,18,31,13,12,11,10,11,136,141,13,25,4,11,8,19,5,6,20,16,275,403,3-4-1-2,6.75,4-3-3,6.94,8.13,10.61,,
192,Кельн,Вольфсбург,Фрэнк Вилленборг,2.3,3.4,3.0,25,0,2,1763,451,1312,57,43,9,16,1,2,446,342,44,60,32,12,14,21,63,48,20,10,20,16,10,2,7,16,152,145,13,6,5,4,11,3,2,3,12,32,362,252,4-4-2,6.77,4-3-3,6.84,7.08,10.88,,
